Age,Gender,Education,AnnualIncome,SpendingScore
25,Male,Bachelor,50000,70
30,Female,Master,60000,80
35,Male,PhD,70000,60
40,Female,Bachelor,55000,75
45,Male,Master,65000,85
50,Female,PhD,75000,65
28,Male,Bachelor,48000,72
32,Female,Master,62000,78
38,Male,PhD,72000,58
42,Female,Bachelor,53000,77
47,Male,Master,68000,82
52,Female,PhD,78000,63
26,Male,Bachelor,51000,71
31,Female,Master,59000,79
36,Male,PhD,71000,59
41,Female,Bachelor,54000,76
46,Male,Master,66000,84
51,Female,PhD,76000,64
27,Male,Bachelor,49000,73
33,Female,Master,61000,81
37,Male,PhD,73000,57
43,Female,Bachelor,56000,74
48,Male,Master,67000,83
53,Female,PhD,79000,62
29,Male,Bachelor,52000,69
34,Female,Master,63000,80
39,Male,PhD,74000,61
44,Female,Bachelor,57000,75
49,Male,Master,69000,86
54,Female,PhD,80000,66
